Image_Name,Seed,Area,Length,Width,Orientation,Circularity,Eccentricity
PI_115358_005,85,657,64.18798389,13.33746686,0.819851514,0.32842456,0.97817397
PI_115358_005,86,545,70.0521935,10.23852924,-0.807665751,0.289931723,0.989261595
PI_115358_005,87,120,18.37685546,9.237668361,-1.259915406,0.535990852,0.864472862
PI_115358_005,88,336,49.30132366,10.84603946,-1.410324482,0.237530882,0.975501023
PI_115358_005,89,672,74.15067445,11.65147845,1.454587554,0.322148001,0.987577535
PI_115358_005,90,684,73.30858877,12.52695139,0.483197405,0.275441778,0.985291896
PI_115358_005,91,578,67.7522324,13.29805515,-1.419582396,0.19356667,0.980548931
PI_115358_005,92,630,64.03302565,12.9726264,1.36810179,0.312940797,0.97926308
PI_115358_005,93,668,67.87618637,12.68137329,0.489898235,0.371581056,0.982392076
PI_115358_005,94,540,62.29985539,11.30614053,-0.299505693,0.330171012,0.983394746
PI_115358_005,95,863,76.72940042,14.56338891,-0.863673481,0.369667528,0.9818224
PI_115358_005,96,487,66.03393862,10.72929801,-0.190411089,0.248426441,0.986711579
PI_115358_005,97,444,82.34189327,9.847939747,0.7159169,0.186408095,0.99282238
PI_115358_005,98,110,35.49140625,4.4359631,1.365636134,0.255687735,0.992158384
PI_115358_005,99,250,91.00958075,9.134726052,-0.871844031,0.117200959,0.994950077
PI_115358_005,100,469,78.85767526,9.119211876,1.375269855,0.15045723,0.993291028
PI_115358_005,101,443,66.619224,10.19054903,-1.450887609,0.197684123,0.988231283
